trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,15,7.658061152824778,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,13,-0.18667081167045918,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-137.38405958806197,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-150.58058780050328,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-79.77761319359573,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-203.07021261164036,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-160.94315777301446,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,16,4.909454349518265,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,12,3.4451107157022305,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-130.72472542520123,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-271.3740198803925,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 5}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",35,0,-227.49627049788646,"{0: 16, 1: 7, 2: 9, 3: 0, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-71.99426475883051,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",35,1,-155.97219169273828,"{0: 19, 1: 7, 2: 5, 3: 1, 4: 2}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-143.66941709784288,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-80.84069610437118,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-26.441104381928767,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-130.44783040155824,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-69.09370040460038,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-55.968206320497465,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-158.67636317848124,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-86.04630662612605,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-75.17596916619253,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,8,-155.14469355737862,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 3}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-86.94507638166034,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,2,-48.28322682087231,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",30,8,-120.95629731090287,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 2}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-146.98014643020562,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",35,18,-9.497588075603488,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-129.8319074473609,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-87.1726962008952,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,0,-102.75910240816737,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-51.87188032394606,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-113.5257058562838,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-51.76424271492525,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-119.0242443858203,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-200.19060371824654,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-148.5045475298895,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-238.853307753561,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-152.5231035567734,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-32.66813688614927,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,0,-187.81071695082866,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-56.01842348698503,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,13,-14.034703224265362,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",35,0,-153.70609700086888,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,3,-58.41603446676455,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-2.323219977024172,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,12,-20.046446193276918,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-163.57195839821333,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,2,-66.02780463914056,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-79.24892413062332,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-48.60750394591687,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-120.81085836652828,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-92.3358537989722,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,8,-21.94459570232894,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",30,13,-33.73044231356974,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-53.44288048042588,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
