trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.06667277768375,"{0: 12, 1: 1, 2: 10, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-254.1457721300198,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.60642105987003,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.02070246691902,"{0: 13, 1: 7, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.44063578736481,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.64552490713206,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.25692424288758,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,16,-58.310601173059815,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.04153038381133,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.6382589180217,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.00976144291022,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,12,-48.671840897608554,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.99973684346628,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.03436137126181,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.3200218558932,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.11253227398512,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.24559635541988,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-268.7374525785561,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.74979116474839,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.95777246213953,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.20349204107666,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.80671610224763,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.28485950594325,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.01905505479542,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.03275304441502,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.1455295607597,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.11586773415999,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.74833648874778,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,16,-13.146227264086185,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.29733756294115,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
